;;;;;;;;;;UMBRALES;;;;
INDICATIVO;NOMBRE;ALTITUD;C_X;C_Y;PROVINCIA;LONG;LAT;LONG;LAT;Vmax (Km/h);Tmin (°C);Tmax (°C);Prec 1H (mm);Prec 12H (mm)
B228;PALMA DE MALLORCA, CMT;3;983435;4393329;BALEARES;237311;393312;2° 37' 31'' E;39° 33' 12'';90;-4;39;30;100
B278;PALMA DE MALLORCA/SON SAN JUAN;8;992960;4394769;BALEARES;244121;393339;2° 44' 12'' E;39° 33' 39'';90;-4;39;30;100
B893;MENORCA/AEROPUERTO;91;1117516;4436634;BALEARES;412561;395117;4° 12' 56'' E;39° 51' 17'';100;-4;37;40;100
B954;IBIZA/ES CODOLÁ;6;880396;4312208;BALEARES;123041;385235;1° 23' 4'' E;38° 52' 35'';90;-4;37;40;100
C029O;LANZAROTE/AEROPUERTO;14;-536098;3249414;LAS PALMAS;1336012;285707;13° 36' 1'' O;28° 57' 7'';90;-4;37;30;80
C139E;LA PALMA/AEROPUERTO;33;-950866;3258153;SANTA CRUZ DE TENERIFE;1745182;283759;17° 45' 18'' O;28° 37' 59'';90;-4;37;30;100
C249I;FUERTEVENTURA/AEROPUERTO;25;-567173;3195044;LAS PALMAS;1351472;282641;13° 51' 47'' O;28° 26' 41'';90;-4;37;30;80
C329B;LA GOMERA/AEROPUERTO;219;-904890;3183701;SANTA CRUZ DE TENERIFE;1712392;280154;17° 12' 39'' O;28° 1' 54'';90;-4;37;30;100
C429I;TENERIFE/SUR;64;-839777;3177879;SANTA CRUZ DE TENERIFE;1633402;280249;16° 33' 40'' O;28° 2' 49'';90;-4;37;30;100
C430E;IZAÑA;2371;-830282;3206650;SANTA CRUZ DE TENERIFE;1629582;281832;16° 29' 58'' O;28° 18' 32'';90;-4;37;30;100
C447A;TENERIFE/LOS RODEOS;632;-811227;3223694;SANTA CRUZ DE TENERIFE;1619462;282839;16° 19' 46'' O;28° 28' 39'';90;-4;37;30;100
C449C;STA.CRUZ DE TENERIFE;35;-804039;3221271;SANTA CRUZ DE TENERIFE;1615192;282748;16° 15' 19'' O;28° 27' 48'';90;-4;37;30;100
C649I;GRAN CANARIA/AEROPUERTO;32;-725041;3150786;LAS PALMAS;1523432;275504;15° 23' 43'' O;27° 55' 4'';90;-4;37;30;80
C929I;HIERRO/AEROPUERTO;32;-975736;3167955;SANTA CRUZ DE TENERIFE;1753202;274908;17° 53' 20'' O;27° 49' 8'';90;-4;37;30;100
0016A;REUS/AEROPUERTO;71;849439;4563219;TARRAGONA;109491;410842;1° 9' 49'' E;41° 8' 42'';90;-4;37;40;100
76;BARCELONA/AEROPUERTO;4;924575;4583678;BARCELONA;204121;411734;2° 4' 12'' E;41° 17' 34'';90;-4;39;40;100
0200E;BARCELONA (FABRA);408;928286;4597891;BARCELONA;207271;412506;2° 7' 27'' E;41° 25' 6'';90;-4;37;40;100
367;GIRONA/COSTA BRAVA;143;978053;4656065;GIRONA;245481;415442;2° 45' 48'' E;41° 54' 42'';90;-8;37;40;100
1014;HONDARRIBIA-MALKARROA;4;597873;4801163;GIPUZKOA;147322;432125;1° 47' 32'' O;43° 21' 25'';110;-4;37;30;80
1014A;SAN SEBASTIÁN/FUENTERRABIA;4;597873;4801163;GIPUZKOA;147322;432125;1° 47' 32'' O;43° 21' 25'';110;-4;37;30;80
1024E;SAN SEBASTIÁN,IGUELDO;251;577768;4795286;GIPUZKOA;202282;431823;2° 2' 28'' O;43° 18' 23'';110;-4;37;30;80
1082;BILBAO/AEROPUERTO;42;507593;4793919;BIZKAIA;254232;431753;2° 54' 23'' O;43° 17' 53'';110;-4;37;30;80
1109;SANTANDER/PARAYAS;3;433175;4808220;CANTABRIA;349322;432526;3° 49' 32'' O;43° 25' 26'';110;-4;37;30;80
1109X;SANTANDER AEROPUERTO;3;432708;4808749;CANTABRIA;349532;432543;3° 49' 53'' O;43° 25' 43'';110;-4;37;30;80
1111;SANTANDER I,CMT;52;435270;4815666;CANTABRIA;348022;432928;3° 48' 2'' O;43° 29' 28'';110;-4;37;30;80
1111X;SANTANDER,CMT;52;435270;4815666;CANTABRIA;348022;432928;3° 48' 2'' O;43° 29' 28'';110;-4;37;30;80
1207U;GIJÓN-CAMPUS;26;288175;4822241;ASTURIAS;537162;433123;5° 37' 16'' O;43° 31' 23'';110;-4;37;30;80
1208H;GIJÓN, MUSEL;5;281865;4826551;ASTURIAS;542032;433336;5° 42' 3'' O;43° 33' 36'';110;-4;37;30;80
1212E;ASTURIAS/AVILÉS;127;254162;4828281;ASTURIAS;602392;433401;6° 2' 39'' O;43° 34' 1'';110;-4;37;30;80
1249I;OVIEDO;336;267072;4804067;ASTURIAS;552272;432112;5° 52' 27'' O;43° 21' 12'';110;-8;37;30;80
1249X;OVIEDO;336;267072;4804067;ASTURIAS;552272;432112;5° 52' 27'' O;43° 21' 12'';110;-8;37;30;80
1387;A CORUÑA;58;60704;4815740;A CORUÑA;825172;432157;8° 25' 17'' O;43° 21' 57'';100;-4;37;30;80
1387E;A CORUÑA/ALVEDRO;98;64289;4808938;A CORUÑA;822192;431825;8° 22' 19'' O;43° 18' 25'';100;-4;37;30;80
1428;SANTIAGO DE COMPOSTELA/LABACOLLA;370;58145;4762610;A CORUÑA;824382;425317;8° 24' 38'' O;42° 53' 17'';90;-8;37;30;80
1484C;PONTEVEDRA;108;38048;4713754;PONTEVEDRA;836572;422618;8° 36' 57'' O;42° 26' 18'';100;-4;37;30;80
1495;VIGO/PEINADOR;261;35914;4691612;PONTEVEDRA;837262;421419;8° 37' 26'' O;42° 14' 19'';100;-4;37;30;80
1505;LUGO/ROZAS;445;137309;4782840;LUGO;727272;430641;7° 27' 27'' O;43° 6' 41'';90;-8;39;30;80
1549;PONFERRADA;534;204486;4718674;LEON;636002;423350;6° 36' 0'' O;42° 33' 50'';90;-10;39;30;80
1690A;OURENSE;143;99540;4697347;OURENSE;751352;421931;7° 51' 35'' O;42° 19' 31'';90;-8;39;30;80
2030;SORIA;1082;542963;4624924;SORIA;228592;414630;2° 28' 59'' O;41° 46' 30'';100;-10;37;30;80
2331;BURGOS/VILLAFRÍA;891;448918;4689595;BURGOS;337132;422125;3° 37' 13'' O;42° 21' 25'';90;-10;39;30;80
2422;VALLADOLID;735;353884;4611387;VALLADOLID;445162;413827;4° 45' 16'' O;41° 38' 27'';90;-10;39;30;80
2444;ÁVILA;1130;357981;4502280;AVILA;440482;403933;4° 40' 48'' O;40° 39' 33'';100;-10;37;30;80
2462;NAVACERRADA,PUERTO;1894;414745;4516276;MADRID;400382;404735;4° 0' 38'' O;40° 47' 35'';100;-10;37;30;80
2465;SEGOVIA;1005;405190;4533294;SEGOVIA;407352;405643;4° 7' 35'' O;40° 56' 43'';100;-10;37;30;80
2539;VALLADOLID/VILLANUBLA;846;345633;4619459;VALLADOLID;451202;414243;4° 51' 20'' O;41° 42' 43'';90;-10;39;30;80
2614;ZAMORA;656;271750;4599605;ZAMORA;544072;413056;5° 44' 7'' O;41° 30' 56'';90;-10;39;30;80
2661;LEÓN/VIRGEN DEL CAMINO;912;282469;4718510;LEON;539042;423518;5° 39' 4'' O;42° 35' 18'';90;-10;39;30;80
2867;SALAMANCA/MATACAN;790;289748;4537262;SALAMANCA;529542;405734;5° 29' 54'' O;40° 57' 34'';90;-10;39;30;80
3013;MOLINA DE ARAGÓN;1062;594513;4521786;GUADALAJARA;152442;405030;1° 52' 44'' O;40° 50' 30'';100;-10;37;30;80
3129;MADRID/BARAJAS;609;452902;4479703;MADRID;333202;402800;3° 33' 20'' O;40° 28' 0'';90;-8;39;30;80
3168D;GUADALAJARA;721;487315;4497727;GUADALAJARA;309002;403749;3° 9' 0'' O;40° 37' 49'';90;-10;39;30;80
3175;MADRID/TORREJÓN;607;462405;4482085;MADRID;326372;402919;3° 26' 37'' O;40° 29' 19'';90;-8;39;30;80
3191E;COLMENAR VIEJO/FAMET;1004;435367;4505305;MADRID;345542;404146;3° 45' 54'' O;40° 41' 46'';100;-8;37;30;80
3195;MADRID,RETIRO;667;442470;4473702;MADRID;340412;402443;3° 40' 41'' O;40° 24' 43'';90;-8;39;30;80
3196;MADRID/CUATRO VIENTOS;690;433267;4469738;MADRID;347102;402232;3° 47' 10'' O;40° 22' 32'';90;-8;39;30;80
3200;MADRID/GETAFE;620;438621;4461244;MADRID;343202;401758;3° 43' 20'' O;40° 17' 58'';90;-8;39;30;80
3469A;CÁCERES;394;212776;4374415;CACERES;620202;392817;6° 20' 20'' O;39° 28' 17'';90;-8;40;30;80
4116I;ALMAGRO / FAMET;622;435748;4311449;CIUDAD REAL;344292;385659;3° 44' 29'' O;38° 56' 59'';90;-8;40;30;80
4121;CIUDAD REAL;628;420299;4315977;CIUDAD REAL;355132;385921;3° 55' 13'' O;38° 59' 21'';90;-8;40;30;80
4452;BADAJOZ/TALAVERA LA REAL;185;169155;4310751;BADAJOZ;648502;385300;6° 48' 50'' O;38° 53' 0'';90;-8;40;30;80
4642E;HUELVA, RONDA ESTE;19;153156;4132930;HUELVA;654422;371642;6° 54' 42'' O;37° 16' 42'';90;-4;39;30;80
5000C;CEUTA;87;288160;3974139;CEUTA;520492;355319;5° 20' 49'' O;35° 53' 19'';90;-4;39;30;80
5270B;JAÉN;580;428767;4181437;JAEN;348322;374639;3° 48' 32'' O;37° 46' 39'';90;-8;40;30;80
5402;CÓRDOBA/AEROPUERTO;90;337528;4190657;CORDOBA;450482;375056;4° 50' 48'' O;37° 50' 56'';90;-4;40;30;80
5514;GRANADA/BASE AÉREA;687;443922;4110282;GRANADA;337532;370814;3° 37' 53'' O;37° 8' 14'';90;-8;40;30;80
5530E;GRANADA/AEROPUERTO;567;429933;4116211;GRANADA;347222;371123;3° 47' 22'' O;37° 11' 23'';90;-8;40;30;80
5783;SEVILLA/SAN PABLO;34;245199;4144990;SEVILLA;552452;372500;5° 52' 45'' O;37° 25' 0'';90;-4;40;30;80
5796;MORÓN DE LA FRONTERA;87;268128;4116310;SEVILLA;536412;370952;5° 36' 41'' O;37° 9' 52'';90;-4;40;30;80
5910;ROTA B.N.OBSERVATORIO';21;202042;4059991;CADIZ;619572;363820;6° 19' 57'' O;36° 38' 20'';90;-4;39;30;80
5960;JEREZ DE LA FRONTERA/AEROPUERTO;27;227181;4071559;CADIZ;603212;364502;6° 3' 21'' O;36° 45' 2'';90;-4;40;30;80
5973;CÁDIZ,OBS.;2;208201;4044317;CADIZ;615282;362959;6° 15' 28'' O;36° 29' 59'';90;-4;39;30;80
6000A;MELILLA;52;503966;3903695;MELILLA;257232;351635;2° 57' 23'' O;35° 16' 35'';90;-4;39;30;80
6155A;MÁLAGA/AEROPUERTO;5;367539;4058858;MALAGA;428562;363958;4° 28' 56'' O;36° 39' 58'';90;-4;39;30;80
6325O;ALMERÍA/AEROPUERTO;21;557332;4078025;ALMERIA;221252;365047;2° 21' 25'' O;36° 50' 47'';90;-4;39;30;80
7031X;MURCIA/SAN JAVIER II;4;693232;4183489;MURCIA;48212;374642;0° 48' 21'' O;37° 46' 42'';90;-4;39;30;100
7178I;MURCIA;61;660598;4207610;MURCIA;110152;380007;1° 10' 15'' O;38° 0' 7'';90;-8;40;30;100
7228;MURCIA/ALCANTARILLA;75;655618;4202611;MURCIA;113432;375728;1° 13' 43'' O;37° 57' 28'';90;-8;40;30;100
8019;ALICANTE-ELCHE/AEROPUERTO;43;712468;4239983;ALICANTE;34152;381658;0° 34' 15'' O;38° 16' 58'';90;-4;39;40;100
8025;ALICANTE;81;718904;4250120;ALICANTE;29392;382221;0° 29' 39'' O;38° 22' 21'';90;-4;39;40;100
8096;CUENCA;948;574025;4435579;CUENCA;207552;400402;2° 7' 55'' O;40° 4' 2'';100;-10;37;30;80
8175;ALBACETE/LOS LLANOS;702;599093;4312313;ALBACETE;151232;385715;1° 51' 23'' O;38° 57' 15'';90;-8;39;30;80
8178D;ALBACETE,OBS.;674;598516;4318009;ALBACETE;151442;390020;1° 51' 44'' O;39° 0' 20'';90;-8;39;30;80
8368U;TERUEL;900;659303;4468356;TERUEL;107272;402102;1° 7' 27'' O;40° 21' 2'';100;-10;39;30;80
8414A;VALENCIA/AEROPUERTO;56;717181;4373646;VALENCIA;28292;392906;0° 28' 29'' O;39° 29' 6'';90;-4;39;40;100
8500A;CASTELLÓN-ALMASSORA;43;750113;4427117;CASTELLON;4192;395726;0° 4' 19'' O;39° 57' 26'';90;-4;39;40;100
9091O;FORONDA-TXOKIZA;513;521641;4747739;ARABA/ALAVA;244062;425255;2° 44' 6'' O;42° 52' 55'';90;-10;39;30;80
9091R;VITORIA/FORONDA;513;521803;4746629;ARABA/ALAVA;243592;425219;2° 43' 59'' O;42° 52' 19'';90;-10;39;30;80
9170;LOGROÑO/AGONCILLO;353;555002;4700205;LA RIOJA;219522;422708;2° 19' 52'' O;42° 27' 8'';90;-8;39;30;80
9263D;PAMPLONA/NOAIN;459;610434;4736929;NAVARRA;139002;424637;1° 39' 0'' O;42° 46' 37'';90;-8;39;30;80
9390;DAROCA I;779;633492;4552680;ZARAGOZA;124362;410652;1° 24' 36'' O;41° 6' 52'';100;-8;39;30;80
9434;ZARAGOZA/AEROPUERTO;249;666170;4614014;ZARAGOZA;100152;413938;1° 0' 15'' O;41° 39' 38'';90;-8;39;30;80
9585;LA MOLINA;1703;906984;4698529;GIRONA;156221;421957;1° 56' 22'' E;42° 19' 57'';100;-10;37;40;100
9771C;LLEIDA;185;799744;4614524;LLEIDA;35531;413734;0° 35' 53'' E;41° 37' 34'';90;-8;39;30;80
9898;HUESCA/PIRINEOS;546;721206;4662615;HUESCA;19322;420504;0° 19' 32'' O;42° 5' 4'';90;-8;39;30;80
9981A;TORTOSA;50;794618;4524684;TARRAGONA;29361;404913;0° 29' 36'' E;40° 49' 13'';90;-8;38;40;100
